INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,TUITION_DIFF
Creighton University,Omaha,NE,68178,2,0.7201,1283,38750,38750,4212,4,0
Doane University-Arts & Sciences,Crete,NE,68333,2,0.6518,1125,32250,32250,1068,4,0
Grace University,Omaha,NE,68108-3629,2,0.4591,1010,23030,23030,220,4,0
Hastings College,Hastings,NE,68901,2,0.6833,1118,29200,29200,1082,4,0
University of Nebraska at Kearney,Kearney,NE,68849-1212,1,0.8175,1105,7294,13194,4440,4,5900
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,2,0.6818,1145,15980,15980,861,4,0
Midland University,Fremont,NE,68025,2,0.643,1039,31630,31630,1211,4,0
Nebraska Christian College of Hope International University,Papillion,NE,68046,2,0.4416,989,16830,16830,146,4,0
University of Nebraska at Omaha,Omaha,NE,68182-0225,1,0.8653,1125,7630,20320,12424,4,12690
Nebraska Wesleyan University,Lincoln,NE,68504-2794,2,0.7126,1213,32894,32894,1748,4,0
University of Nebraska-Lincoln,Lincoln,NE,68588,1,0.6438,1235,8978,24098,20954,4,15120
Summit Christian College,Gering,NE,69341,2,0.4,1010,6560,6560,25,4,0
Union College,Lincoln,NE,68506,2,0.5995,1112,23070,23070,747,4,0
York College,York,NE,68467-2699,2,0.4849,1041,18760,18760,428,4,0
University of Nevada-Las Vegas,Las Vegas,NV,89154,1,0.8107,1100,7665,21853,24783,8,14188
University of Nevada-Reno,Reno,NV,89557,1,0.8803,1165,7599,21788,17930,8,14189
Sierra Nevada College,Incline Village,NV,89451,2,0.6898,1048,32639,32639,433,8,0
Dartmouth College,Hanover,NH,03755-3529,2,0.1045,1483,53368,53368,4315,1,0
University of New Hampshire-Main Campus,Durham,NH,03824-3547,1,0.7651,1177,18067,32637,12847,1,14570
Keene State College,Keene,NH,03435-1506,1,0.8267,1038,13868,22614,3688,1,8746
University of New Hampshire at Manchester,Manchester,NH,03101-1113,1,0.6056,1135,14850,29420,711,1,14570
Saint Anselm College,Manchester,NH,03102-1310,2,0.7605,1227,40200,40200,1956,1,0
Thomas More College of Liberal Arts,Merrimack,NH,3054,2,1,1220,21000,21000,90,1,0
Bloomfield College,Bloomfield,NJ,7003,2,0.6398,934,29300,29300,1833,2,0
Caldwell University,Caldwell,NJ,07006-6195,2,0.6374,1035,33950,33950,1596,2,0
Centenary University,Hackettstown,NJ,7840,2,0.87,1014,32580,32580,1351,2,0
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,7666,2,0.8753,1104,39446,39446,3391,2,0
Felician University,Lodi,NJ,7644,2,0.7941,993,33650,33650,1616,2,0
Fairleigh Dickinson University-Florham Campus,Madison,NJ,7940,2,0.839,1140,41780,41780,2731,2,0
Georgian Court University,Lakewood,NJ,08701-2697,2,0.6886,1015,32260,32260,1447,2,0
Rowan University,Glassboro,NJ,8028,1,0.6942,1164,13422,21890,15089,2,8468
New Jersey City University,Jersey City,NJ,7305,1,0.9185,975,11761,21051,6359,2,9290
Kean University,Union,NJ,7083,1,0.8222,977,12107,19009,11761,2,6902
Monmouth University,West Long Branch,NJ,07764-1898,2,0.7394,1088,36732,36732,4683,2,0
Montclair State University,Montclair,NJ,07043-1624,1,0.7066,1070,12455,20567,16673,2,8112
New Jersey Institute of Technology,Newark,NJ,7102,1,0.6139,1282,16898,31918,7489,2,15020
Princeton University,Princeton,NJ,08544-0070,2,0.0641,1500,47140,47140,5246,2,0
Ramapo College of New Jersey,Mahwah,NJ,07430-1680,1,0.5736,1146,14080,23214,5314,2,9134
Rider University,Lawrenceville,NJ,08648-3099,2,0.6712,1097,41310,41310,4042,2,0
Rutgers University-Camden,Camden,NJ,8102,1,0.6933,1090,14501,29924,5360,2,15423
Rutgers University-New Brunswick,New Brunswick,NJ,08901-1281,1,0.578,1295,14638,30579,35296,2,15941
Rutgers University-Newark,Newark,NJ,7102,1,0.6424,1090,14085,30026,8122,2,15941
Saint Peter's University,Jersey City,NJ,07306-5997,2,0.9129,1021,36402,36402,2547,2,0
Seton Hall University,South Orange,NJ,07079-2697,2,0.7316,1222,40588,40588,5717,2,0
College of Saint Elizabeth,Morristown,NJ,07960-6989,2,0.6457,885,33131,33131,749,2,0
Stevens Institute of Technology,Hoboken,NJ,07030-5991,2,0.4388,1410,50554,50554,3114,2,0
Stockton University,Galloway,NJ,08205-9441,1,0.8153,1105,13404,20357,8242,2,6953
The College of New Jersey,Ewing,NJ,08628-7718,1,0.4753,1250,16149,27578,6850,2,11429
William Paterson University of New Jersey,Wayne,NJ,7470,1,0.9239,1030,12652,19654,8710,2,7002
Eastern New Mexico University-Main Campus,Portales,NM,88130,1,0.6045,984,6013,11788,3431,6,5775
New Mexico Military Institute,Roswell,NM,88201-5173,1,0.4226,1015,4318,13301,419,6,8983
New Mexico Institute of Mining and Technology,Socorro,NM,87801,1,0.2168,1259,7183,20991,1358,6,13808
University of New Mexico-Main Campus,Albuquerque,NM,87106,1,0.6704,1103,7448,22038,18912,6,14590
New Mexico State University-Main Campus,Las Cruces,NM,88003-8001,1,0.6384,1043,6461,21022,11173,6,14561
Adelphi University,Garden City,NY,11530-0701,2,0.7312,1164,37170,37170,5162,2,0
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492,2,0.7855,1200,33621,33621,886,2,0
Alfred University,Alfred,NY,14802-1205,2,0.6273,1116,28114,28114,1621,2,0
Barnard College,New York,NY,10027-6598,2,0.1542,1430,52662,52662,2540,2,0
Canisius College,Buffalo,NY,14208-1098,2,0.7819,1172,36454,36454,2324,2,0
Clarkson University,Potsdam,NY,13699,2,0.6571,1247,47950,47950,2991,2,0
Colgate University,Hamilton,NY,13346-1398,2,0.2814,1443,53980,53980,2854,2,0
Columbia University in the City of New York,New York,NY,10027,2,0.0661,1488,57208,57208,8170,2,0
Concordia College-New York,Bronxville,NY,10708-1998,2,0.7553,1041,31600,31600,1086,2,0
Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120,2,0.1305,1424,45100,45100,854,2,0
Cornell University,Ithaca,NY,14853,2,0.1267,1477,52853,52853,14815,2,0
CUNY Bernard M Baruch College,New York,NY,10010,1,0.2925,1270,7062,14452,14903,2,7390
CUNY Brooklyn College,Brooklyn,NY,11210,1,0.4043,1130,7040,14430,13712,2,7390
CUNY City College,New York,NY,10031,1,0.4637,1140,6940,14330,12480,2,7390
CUNY Hunter College,New York,NY,10065,1,0.4018,1205,6982,14372,15820,2,7390
CUNY John Jay College of Criminal Justice,New York,NY,10019,1,0.3875,1055,7070,14460,12426,2,7390
CUNY Lehman College,Bronx,NY,10468,1,0.35,1035,7010,14400,10949,2,7390
CUNY Queens College,Queens,NY,11367,1,0.4273,1140,7138,14528,15762,2,7390
CUNY York College,Jamaica,NY,11451,1,0.4447,960,6958,14348,7058,2,7390
D'Youville College,Buffalo,NY,14201-1084,2,0.9667,938,25870,25870,1664,2,0
Dominican College of Blauvelt,Orangeburg,NY,10962-1210,2,0.6895,986,28448,28448,1413,2,0
Fordham University,Bronx,NY,10458,2,0.4644,1337,50986,50986,9403,2,0
Hamilton College,Clinton,NY,13323,2,0.2422,1452,52770,52770,1885,2,0
Hartwick College,Oneonta,NY,13820-4020,2,0.8857,1047,44134,44134,1194,2,0
Hobart William Smith Colleges,Geneva,NY,14456,2,0.6392,1270,53525,53525,2220,2,0
Hofstra University,Hempstead,NY,11549,2,0.6395,1237,43960,43960,6783,2,0
Houghton College,Houghton,NY,14744,2,0.9135,1205,31540,31540,1026,2,0
Iona College,New Rochelle,NY,10801-1890,2,0.922,1090,37682,37682,2989,2,0
Jewish Theological Seminary of America,New York,NY,10027-4649,2,0.5268,1396,54684,54684,158,2,0
Keuka College,Keuka Park,NY,14478,2,0.7003,1066,30946,30946,1640,2,0
Le Moyne College,Syracuse,NY,13214-1301,2,0.6395,1171,33905,33905,2676,2,0
LIU Brooklyn,Brooklyn,NY,11201-8423,2,0.8426,1124,36978,36978,3748,2,0
Long Island University,Brookville,NY,11548-1327,2,0.8269,1154,36978,36978,3133,2,0
Manhattan College,Riverdale,NY,10471-4098,2,0.7539,1169,41412,41412,3664,2,0
Marymount Manhattan College,New York,NY,10021-4597,2,0.7953,1149,31950,31950,2109,2,0
Medaille College,Buffalo,NY,14214-2695,2,0.7453,978,28360,28360,1476,2,0
Molloy College,Rockville Centre,NY,11571-5002,2,0.7603,1148,30310,30310,3505,2,0
Mount Saint Mary College,Newburgh,NY,12550,2,0.9338,1081,29920,29920,2030,2,0
College of Mount Saint Vincent,Bronx,NY,10471-1093,2,0.9109,981,37100,37100,1676,2,0
The College of New Rochelle,New Rochelle,NY,10805-2339,2,0.6757,982,36618,36618,2521,2,0
The New School,New York,NY,10011-8871,2,0.6151,1223,47276,47276,6982,2,0
New York University,New York,NY,10012-1091,2,0.2766,1408,50464,50464,26055,2,0
Niagara University,Niagara University,NY,14109,2,0.842,1121,31950,31950,2902,2,0
New York Institute of Technology,Old Westbury,NY,11568-8000,2,0.7693,1139,35870,35870,3619,2,0
New York School of Interior Design,New York,NY,10021,2,0.3333,1058,23590,23590,307,2,0
Nyack College,Nyack,NY,10960-3698,2,0.984,995,25350,25350,1387,2,0
Pace University,New York,NY,10038-1598,2,0.7956,1144,43986,43986,8456,2,0
Pratt Institute-Main,Brooklyn,NY,11205,2,0.568,1201,50038,50038,3602,2,0
Rensselaer Polytechnic Institute,Troy,NY,12180-3590,2,0.4317,1405,52305,52305,6314,2,0
Roberts Wesleyan College,Rochester,NY,14624,2,0.6887,1144,30686,30686,1297,2,0
Rochester Institute of Technology,Rochester,NY,14623-5603,2,0.5672,1315,40068,40068,12858,2,0
University of Rochester,Rochester,NY,14627-0011,2,0.3421,1410,52020,52020,6320,2,0
St Bonaventure University,Saint Bonaventure,NY,14778-9800,2,0.7053,1140,33331,33331,1592,2,0
St Francis College,Brooklyn Heights,NY,11201-4305,2,0.6321,1043,26188,26188,2267,2,0
St Lawrence University,Canton,NY,13617,2,0.4833,1301,52990,52990,2373,2,0
St. Thomas Aquinas College,Sparkill,NY,10976-1050,2,0.7799,1002,30750,30750,1114,2,0
Sarah Lawrence College,Bronxville,NY,10708,2,0.5319,1342,54010,54010,1355,2,0
Skidmore College,Saratoga Springs,NY,12866,2,0.2452,1330,52596,52596,2659,2,0
St. Joseph's College-New York,Brooklyn,NY,11205-3688,2,0.6768,974,26550,26550,924,2,0
St. Joseph's College-Long Island,Patchogue,NY,11772,2,0.7077,1121,26560,26560,3037,2,0
Saint John Fisher College,Rochester,NY,14618-3597,2,0.6453,1158,33120,33120,2724,2,0
St John's University-New York,Queens,NY,11439,2,0.6773,1171,40520,40520,11756,2,0
SUNY College of Technology at Alfred,Alfred,NY,14802,1,0.6766,1049,8327,8327,3665,2,0
SUNY College of Technology at Canton,Canton,NY,13617-1098,1,0.7859,986,8130,12320,3067,2,4190
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043,1,0.9427,975,8139,17789,2270,2,9650
Farmingdale State College,Farmingdale,NY,11735-1021,1,0.5903,1061,8076,17726,9005,2,9650
SUNY Morrisville,Morrisville,NY,13408,1,0.7152,1013,8249,17899,2815,2,9650
SUNY at Albany,Albany,NY,12222,1,0.5401,1173,9490,24370,13320,2,14880
Binghamton University,Vestal,NY,13850-6000,1,0.4036,1365,9523,24403,13702,2,14880
University at Buffalo,Buffalo,NY,14260-1660,1,0.5734,1197,9828,27068,20735,2,17240
Stony Brook University,Stony Brook,NY,11794,1,0.4219,1322,9257,26767,17215,2,17510
SUNY College of Environmental Science and Forestry,Syracuse,NY,13210,1,0.5215,1235,8543,18193,1790,2,9650
SUNY Polytechnic Institute,Utica,NY,13502,1,0.6247,1150,7998,17648,2052,2,9650
SUNY College at Brockport,Brockport,NY,14420-2919,1,0.5318,1099,8154,17804,7134,2,9650
SUNY Buffalo State,Buffalo,NY,14222,1,0.5756,975,7976,17626,8395,2,9650
SUNY Cortland,Cortland,NY,13045-0900,1,0.4793,1137,8300,17950,6333,2,9650
SUNY at Fredonia,Fredonia,NY,14063-1136,1,0.6491,1103,8286,17936,4366,2,9650
SUNY College at Geneseo,Geneseo,NY,14454-1465,1,0.7236,1229,8408,18026,5522,2,9618
State University of New York at New Paltz,New Paltz,NY,12561-2443,1,0.443,1191,7775,17625,6616,2,9850
SUNY Oneonta,Oneonta,NY,13820-4015,1,0.5952,1124,8166,17816,5923,2,9650
SUNY College at Oswego,Oswego,NY,13126,1,0.5365,1162,8191,17841,7090,2,9650
SUNY at Purchase College,Purchase,NY,10577-1400,1,0.7401,1119,8498,18148,3968,2,9650
SUNY College at Old Westbury,Old Westbury,NY,11568-0210,1,0.7822,1028,7883,17533,4481,2,9650
SUNY College at Plattsburgh,Plattsburgh,NY,12901-2681,1,0.529,1126,8148,17798,5272,2,9650
SUNY Maritime College,Throggs Neck,NY,10465-4198,1,0.695,1179,8074,17724,1633,2,9650
Syracuse University,Syracuse,NY,13244,2,0.4688,1277,46755,46755,14788,2,0
United States Merchant Marine Academy,Kings Point,NY,11024-1634,1,0.2216,1269,1020,1020,954,0,0
United States Military Academy,West  Point,NY,10996-1905,1,0.0956,1262,0,0,4491,0,0
Vassar College,Poughkeepsie,NY,12604,2,0.2378,1429,55210,55210,2323,2,0
Webb Institute,Glen Cove,NY,11542-1398,2,0.3491,1483,48775,48775,98,2,0
Yeshiva University,New York,NY,10033-3299,2,0.6282,1272,42000,42000,2703,2,0
Appalachian State University,Boone,NC,28608,1,0.7,1198,7302,22109,16888,5,14807
Barton College,Wilson,NC,27893-7000,2,0.3891,1045,29998,29998,877,5,0
Belmont Abbey College,Belmont,NC,28012-1802,2,0.9919,1065,18500,18500,1501,5,0
Bennett College,Greensboro,NC,27401-3239,2,0.8893,851,18513,18513,409,5,0
Cabarrus College of Health Sciences,Concord,NC,28025-3959,2,0.8421,1038,12626,12626,411,5,0
Campbell University,Buies Creek,NC,27506,2,0.8058,1113,31190,31190,4328,5,0
Catawba College,Salisbury,NC,28144,2,0.424,1030,29920,29920,1321,5,0
Chowan University,Murfreesboro,NC,27855,2,0.6004,859,24480,24480,1494,5,0
Davidson College,Davidson,NC,28035,2,0.2024,1423,49949,49949,1800,5,0
Duke University,Durham,NC,27708,2,0.0986,1488,53500,53500,6552,5,0
East Carolina University,Greenville,NC,27858-4353,1,0.7902,1105,7143,23420,22598,5,16277
Elizabeth City State University,Elizabeth City,NC,27909,1,0.5981,936,4986,18130,1301,5,13144
Elon University,Elon,NC,27244-2010,2,0.6653,1262,34273,34273,6045,5,0
Fayetteville State University,Fayetteville,NC,28301-4298,1,0.6756,955,5183,16791,4817,5,11608
Gardner-Webb University,Boiling Springs,NC,28017-0997,2,0.527,1102,30700,30700,2210,5,0
Greensboro College,Greensboro,NC,27401-1875,2,0.4069,1023,29120,29120,821,5,0
High Point University,High Point,NC,27268,2,0.8066,1161,34005,34005,4407,5,0
John Wesley University,High Point,NC,27265-3115,2,0.4464,1025,11230,11230,134,5,0
Johnson C Smith University,Charlotte,NC,28216-5398,2,0.381,868,18236,18236,1392,5,0
Lenoir-Rhyne University,Hickory,NC,28601,2,0.739,1070,35350,35350,1573,5,0
Livingstone College,Salisbury,NC,28144,2,0.3724,822,17763,17763,1143,5,0
Louisburg College,Louisburg,NC,27549-2399,2,0.8104,825,18581,18581,620,5,0
Mars Hill University,Mars Hill,NC,28754,2,0.5822,1010,31804,31804,1255,5,0
Meredith College,Raleigh,NC,27607-5298,2,0.6891,1111,35916,35916,1638,5,0
Methodist University,Fayetteville,NC,28311-1420,2,0.572,1050,32860,32860,1908,5,0
Montreat College,Montreat,NC,28757-1267,2,0.6515,1040,25730,25730,695,5,0
University of Mount Olive,Mount Olive,NC,28365-0919,2,0.491,988,19700,19700,3061,5,0
North Carolina A & T State University,Greensboro,NC,27411,1,0.6223,1010,6526,19416,10011,5,12890
University of North Carolina at Asheville,Asheville,NC,28804-8510,1,0.8039,1191,7145,23868,3496,5,16723
University of North Carolina at Chapel Hill,Chapel Hill,NC,27599,1,0.244,1393,9005,34588,18658,5,25583
University of North Carolina at Charlotte,Charlotte,NC,28223-0001,1,0.6584,1187,6832,20266,23622,5,13434
University of North Carolina at Greensboro,Greensboro,NC,27402-6170,1,0.7804,1114,7250,22409,15988,5,15159
North Carolina Central University,Durham,NC,27707,1,0.8281,967,6399,19106,5939,5,12707
University of North Carolina School of the Arts,Winston-Salem,NC,27127-2738,1,0.3264,1198,9338,25081,867,5,15743
North Carolina State University at Raleigh,Raleigh,NC,27695-7001,1,0.5136,1331,9058,27406,22801,5,18348
North Carolina Wesleyan College,Rocky Mount,NC,27804,2,0.5297,967,29900,29900,2086,5,0
University of North Carolina Wilmington,Wilmington,NC,28403-5963,1,0.6652,1225,7000,21065,14183,5,14065
William Peace University,Raleigh,NC,27604-1194,2,0.5908,1033,28700,28700,927,5,0
University of North Carolina at Pembroke,Pembroke,NC,28372-1510,1,0.8074,999,6014,17605,5308,5,11591
Pfeiffer University,Misenheimer,NC,28109-0960,2,0.6602,997,29574,29574,813,5,0
Queens University of Charlotte,Charlotte,NC,28274-0001,2,0.7916,1132,33532,33532,1602,5,0
Mid-Atlantic Christian University,Elizabeth City,NC,27909-4054,2,0.5344,980,14080,14080,192,5,0
Saint Augustine's University,Raleigh,NC,27610-2298,2,0.7611,834,17890,17890,974,5,0
Salem College,Winston-Salem,NC,27101,2,0.5684,1211,28566,28566,813,5,0
St. Andrews University,Laurinburg,NC,28352,2,0.4123,1005,25874,25874,612,5,0
Warren Wilson College,Swannanoa,NC,28778-2099,2,0.7936,1275,35244,35244,582,5,0
Wingate University,Wingate,NC,28174-0159,2,0.9324,1045,31120,31120,2586,5,0
Winston-Salem State University,Winston-Salem,NC,27110-0001,1,0.6657,943,5941,16188,4570,5,10247
Western Carolina University,Cullowhee,NC,28723-9646,1,0.3884,1095,6897,17290,9234,5,10393
Dickinson State University,Dickinson,ND,58601-4896,1,0.9897,1042,6554,9226,1153,4,2672
University of Jamestown,Jamestown,ND,58405,2,0.6525,1075,21158,21158,896,4,0
University of Mary,Bismarck,ND,58504,2,0.7635,1160,18224,18224,2064,4,0
Mayville State University,Mayville,ND,58257-1299,1,0.481,1045,6456,9084,825,4,2628
Minot State University,Minot,ND,58707,1,0.6897,1090,6810,6810,2466,4,0
University of North Dakota,Grand Forks,ND,58202-8193,1,0.8348,1165,8447,20047,10351,4,11600
North Dakota State University-Main Campus,Fargo,ND,58108-6050,1,0.9159,1166,8666,20692,11687,4,12026
Trinity Bible College and Graduate School,Ellendale,ND,58436-7105,2,0.4236,1070,16140,16140,183,4,0
Valley City State University,Valley City,ND,58072,1,0.763,1045,7406,16579,1010,4,9173
University of Akron Main Campus,Akron,OH,44325-4702,1,0.9255,1125,10270,18801,15047,3,8531
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,2,0.4544,990,31290,31290,174,3,0
Ashland University,Ashland,OH,44805,2,0.7351,1121,20700,20700,3660,3,0
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,2,0.8824,1085,18000,18000,375,3,0
Bluffton University,Bluffton,OH,45817-2104,2,0.4884,1057,31672,31672,703,3,0
Bowling Green State University-Main Campus,Bowling Green,OH,43403,1,0.732,1088,11057,18593,13790,3,7536
Capital University,Columbus,OH,43209-2394,2,0.6865,1195,34600,34600,2573,3,0
Case Western Reserve University,Cleveland,OH,44106,2,0.3312,1441,47500,47500,5020,3,0
Cedarville University,Cedarville,OH,45314-0601,2,0.7145,1246,29156,29156,3132,3,0
Central State University,Wilberforce,OH,45384-1004,1,0.4801,868,6246,8096,1772,3,1850
The Christ College of Nursing and Health Sciences,Cincinnati,OH,45219-2989,2,0.5144,1105,16477,16477,912,3,0
Cincinnati Christian University,Cincinnati,OH,45204-3200,2,0.8811,960,17028,17028,547,3,0
University of Cincinnati-Main Campus,Cincinnati,OH,45221-0063,1,0.7649,1230,11000,27334,25523,3,16334
Cleveland Institute of Art,Cleveland,OH,44106-1710,2,0.5423,1144,40655,40655,630,3,0
Cleveland State University,Cleveland,OH,44115-2214,1,0.9006,1104,9778,13829,11647,3,4051
University of Dayton,Dayton,OH,45469,2,0.7168,1254,41750,41750,8422,3,0
Defiance College,Defiance,OH,43512,2,0.5648,1003,32190,32190,581,3,0
Denison University,Granville,OH,43023,2,0.3724,1335,50440,50440,2321,3,0
The University of Findlay,Findlay,OH,45840-3653,2,0.7508,1171,33320,33320,2637,3,0
Good Samaritan College of Nursing and Health Science,Cincinnati,OH,45220-2489,2,0.4464,1065,15470,15470,413,3,0
Heidelberg University,Tiffin,OH,44883-2462,2,0.7606,1088,30200,30200,1049,3,0
Hiram College,Hiram,OH,44234-0067,2,0.6353,1066,34300,34300,967,3,0
John Carroll University,University Heights,OH,44118-4581,2,0.8503,1161,39990,39990,2972,3,0
Kent State University at Kent,Kent,OH,44242-0001,1,0.8751,1142,10012,18544,22403,3,8532
Kenyon College,Gambier,OH,43022,2,0.3384,1403,53560,53560,1661,3,0
Kettering College,Kettering,OH,45429-1299,2,0.2836,1138,12408,12408,615,3,0
Lake Erie College,Painesville,OH,44077-3389,2,0.6045,1036,30862,30862,750,3,0
